# step, loss 
500, 0.6773146986961365 
1000, 0.7061671018600464 
1500, 0.7435585260391235 
2000, 0.6829848289489746 
2500, 0.7001783847808838 
3000, 0.7049641013145447 
3500, 0.7965601682662964 
4000, 0.6441830396652222 
4500, 0.6458629369735718 
5000, 0.6420283913612366 
5500, 0.6678168773651123 
6000, 0.6683014631271362 
6500, 0.6542168259620667 
7000, 0.6676412224769592 
7500, 0.6673632264137268 
8000, 0.6340218186378479 
8500, 0.6532663702964783 
9000, 0.654452919960022 
9500, 0.6893104314804077 
10000, 0.671513557434082 
10500, 0.6769349575042725 
11000, 0.649844765663147 
11500, 0.6286511421203613 
12000, 0.6532683372497559 
12500, 0.6585437059402466 
13000, 0.6512244939804077 
13500, 0.6437739133834839 
14000, 0.6557931900024414 
14500, 0.6462427973747253 
15000, 0.6320890188217163 
15500, 0.6406067609786987 
16000, 0.6581559181213379 
16500, 0.6474622488021851 
17000, 0.6406345367431641 
17500, 0.6453847289085388 
18000, 0.6918548345565796 
18500, 0.5359877943992615 
19000, 0.43299350142478943 
19500, 0.4281877875328064 
20000, 0.39296266436576843 
20500, 0.37630176544189453 
21000, 0.3347252607345581 
21500, 0.34941980242729187 
22000, 0.3173602223396301 
22500, 0.2805835008621216 
23000, 0.35203662514686584 
23500, 0.26137715578079224 
24000, 0.24782957136631012 
24500, 0.37070146203041077 
25000, 0.33440443873405457 
25500, 0.1928306370973587 
26000, 0.31683364510536194 
26500, 0.23424924910068512 
27000, 0.1972997784614563 
27500, 0.2700275778770447 
28000, 0.3558703660964966 
28500, 0.25630202889442444 
29000, 0.2945026159286499 
29500, 0.2658112049102783 
30000, 0.18731500208377838 
30500, 0.2957581877708435 
31000, 0.2157822847366333 
31500, 0.26730355620384216 
32000, 0.3029269576072693 
32500, 0.2799372375011444 
33000, 0.22437721490859985 
33500, 0.2720867991447449 
34000, 0.20311640202999115 
34500, 0.2829349637031555 
35000, 0.20440681278705597 
35500, 0.2185530811548233 
36000, 0.18902765214443207 
36500, 0.2413439154624939 
37000, 0.2075364589691162 
37500, 0.1922561079263687 
38000, 0.2280658632516861 
38500, 0.2563195526599884 
39000, 0.25335264205932617 
39500, 0.18146385252475739 
40000, 0.3058021068572998 
40500, 0.23555120825767517 
41000, 0.234302818775177 
41500, 0.17877449095249176 
42000, 0.2322741448879242 
42500, 0.32174938917160034 
43000, 0.2384987771511078 
43500, 0.24125176668167114 
44000, 0.24718976020812988 
44500, 0.2490294724702835 
45000, 0.2377225011587143 
45500, 0.2620476484298706 
46000, 0.2768304646015167 
46500, 0.25840964913368225 
47000, 0.2155386358499527 
47500, 0.22378534078598022 
48000, 0.24506452679634094 
48500, 0.19130460917949677 
49000, 0.20677746832370758 
49500, 0.19214634597301483 
50000, 0.2249700278043747 
50500, 0.2196461409330368 
51000, 0.23798561096191406 
51500, 0.22929838299751282 
52000, 0.263073593378067 
52500, 0.20415392518043518 
53000, 0.2414775937795639 
53500, 0.23171466588974 
54000, 0.23158834874629974 
